paper,year,anarchist_hits,communis_hits,socialis_hits,revolution_hits
L'Humanité,1904,6,4,50,11
L'Humanité,1904,1,3,86,18
L'Humanité,1904,1,2,23,4
L'Humanité,1904,1,3,36,6
L'Humanité,1904,1,2,6,0
L'Humanité,1904,0,2,21,3
L'Humanité,1904,0,2,22,0
L'Humanité,1904,1,2,20,1
L'Humanité,1904,0,2,13,6
L'Humanité,1904,0,3,52,10
L'Humanité,1904,0,3,24,7
L'Humanité,1904,0,2,29,2
L'Humanité,1904,1,2,35,3
L'Humanité,1904,0,3,14,2
L'Humanité,1904,0,2,17,9
L'Humanité,1904,0,2,63,16
L'Humanité,1904,0,4,102,15
L'Humanité,1904,0,2,37,3
L'Humanité,1904,3,4,39,9
L'Humanité,1904,0,5,29,4
L'Humanité,1904,3,2,41,5
L'Humanité,1904,1,4,70,7
L'Humanité,1904,1,2,26,4
L'Humanité,1904,1,2,21,9
L'Humanité,1904,1,2,37,12
L'Humanité,1904,1,3,45,3
L'Humanité,1904,2,3,37,11
L'Humanité,1904,3,4,60,6
L'Humanité,1904,0,3,12,1
L'Humanité,1904,2,3,33,12
L'Humanité,1904,1,4,23,10
L'Humanité,1904,1,2,98,13
L'Humanité,1904,2,5,55,7
L'Humanité,1904,4,4,35,10
L'Humanité,1904,0,4,13,2
L'Humanité,1904,1,2,17,2
L'Humanité,1904,0,2,58,5
L'Humanité,1904,2,5,141,6
L'Humanité,1904,0,2,28,4
L'Humanité,1904,0,2,37,6
L'Humanité,1904,2,2,32,2
L'Humanité,1904,0,2,47,11
L'Humanité,1904,0,2,23,7
L'Humanité,1904,1,2,24,5
L'Humanité,1904,0,2,16,3
L'Humanité,1904,0,2,10,2
L'Humanité,1904,2,2,12,26
L'Humanité,1904,1,2,44,8
L'Humanité,1904,0,2,33,6
L'Humanité,1904,0,5,27,5
L'Humanité,1904,0,3,43,13
L'Humanité,1904,1,2,30,6
L'Humanité,1904,0,3,33,7
L'Humanité,1904,0,3,34,8
L'Humanité,1904,1,2,13,2
L'Humanité,1904,2,3,24,0
L'Humanité,1904,5,4,128,21
L'Humanité,1904,0,4,47,18
L'Humanité,1904,1,2,33,11
L'Humanité,1904,3,3,68,8
L'Humanité,1904,0,2,60,8
L'Humanité,1904,0,2,41,31
L'Humanité,1904,0,5,23,4
L'Humanité,1904,0,2,48,7
L'Humanité,1904,1,2,37,8
L'Humanité,1904,3,5,30,14
L'Humanité,1904,0,2,25,3
L'Humanité,1904,2,2,35,3
L'Humanité,1904,1,2,27,5
L'Humanité,1904,0,4,41,16
L'Humanité,1904,0,2,18,3
L'Humanité,1904,0,4,20,5
L'Humanité,1904,1,2,30,3
L'Humanité,1904,0,3,31,14
L'Humanité,1904,0,2,41,5
L'Humanité,1904,0,2,57,7
L'Humanité,1904,1,3,72,7
L'Humanité,1904,0,2,24,6
L'Humanité,1904,0,3,28,7
L'Humanité,1904,0,2,73,5
L'Humanité,1904,0,5,40,9
L'Humanité,1904,0,2,22,6
L'Humanité,1904,1,4,39,20
L'Humanité,1904,0,2,21,5
L'Humanité,1904,0,2,44,9
L'Humanité,1904,0,2,51,4
L'Humanité,1904,0,2,18,4
L'Humanité,1904,0,2,22,1
L'Humanité,1904,0,2,5,0
L'Humanité,1904,2,2,14,4
L'Humanité,1904,1,4,27,20
L'Humanité,1904,2,2,35,10
L'Humanité,1904,0,3,37,5
L'Humanité,1904,1,2,15,7
L'Humanité,1904,0,2,39,5
L'Humanité,1904,1,4,24,4
L'Humanité,1904,1,4,105,9
L'Humanité,1904,0,2,19,3
L'Humanité,1904,0,2,28,5
L'Humanité,1904,2,3,18,1
L'Humanité,1904,0,2,48,11
L'Humanité,1904,1,2,18,1
L'Humanité,1904,0,2,29,7
L'Humanité,1904,1,5,18,12
L'Humanité,1904,1,2,26,2
L'Humanité,1904,4,2,19,4
L'Humanité,1904,0,3,20,6
L'Humanité,1904,0,2,46,11
L'Humanité,1904,1,4,35,17
L'Humanité,1904,1,5,23,6
L'Humanité,1904,0,2,156,13
