paper,year,anarchist_hits,communis_hits,socialis_hits,revolution_hits
Figaro : journal non politique,1870,0,0,0,4
Figaro : journal non politique,1870,0,0,2,1
Figaro : journal non politique,1870,0,0,0,4
Figaro : journal non politique,1870,0,0,1,4
Figaro : journal non politique,1870,0,0,0,3
Figaro : journal non politique,1870,0,0,0,2
Figaro : journal non politique,1870,0,0,0,7
Figaro : journal non politique,1870,0,0,0,2
Figaro : journal non politique,1870,0,0,0,6
Figaro : journal non politique,1870,0,0,0,0
Figaro : journal non politique,1870,0,0,2,2
Figaro : journal non politique,1870,0,0,1,6
Figaro : journal non politique,1870,0,0,4,1
Figaro : journal non politique,1870,1,0,1,7
Figaro : journal non politique,1870,0,0,0,6
Figaro : journal non politique,1870,0,0,0,1
Figaro : journal non politique,1870,0,0,0,9
Figaro : journal non politique,1870,1,0,0,4
Figaro : journal non politique,1870,0,0,0,1
Figaro : journal non politique,1870,1,0,1,4
Figaro : journal non politique,1870,0,0,0,2
Figaro : journal non politique,1870,0,0,0,6
Figaro : journal non politique,1870,0,0,0,8
Figaro : journal non politique,1870,1,0,0,8
Figaro : journal non politique,1870,0,0,1,2
Figaro : journal non politique,1870,1,0,0,15
Figaro : journal non politique,1870,0,0,1,2
Figaro : journal non politique,1870,0,0,0,2
Figaro : journal non politique,1870,0,0,0,1
Figaro : journal non politique,1870,0,0,2,6
Figaro : journal non politique,1870,0,0,0,0
Figaro : journal non politique,1870,0,0,3,24
Figaro : journal non politique,1870,0,0,1,4
Figaro : journal non politique,1870,0,0,0,0
Figaro : journal non politique,1870,0,0,0,3
Figaro : journal non politique,1870,1,0,0,4
Figaro : journal non politique,1870,0,0,0,0
Figaro : journal non politique,1870,0,0,0,2
Figaro : journal non politique,1870,0,0,0,1
Figaro : journal non politique,1870,0,0,1,2
Figaro : journal non politique,1870,0,0,2,1
Figaro : journal non politique,1870,0,0,2,6
Figaro : journal non politique,1870,0,0,0,0
Figaro : journal non politique,1870,4,0,0,3
Figaro : journal non politique,1870,0,0,0,12
Figaro : journal non politique,1870,0,0,0,2
Figaro : journal non politique,1870,2,0,0,8
Figaro : journal non politique,1870,1,0,0,1
Figaro : journal non politique,1870,0,0,0,0
Figaro : journal non politique,1870,0,0,0,2
Figaro : journal non politique,1870,0,0,0,0
Figaro : journal non politique,1870,1,0,1,3
Figaro : journal non politique,1870,0,0,0,0
Figaro : journal non politique,1870,0,0,1,3
Figaro : journal non politique,1870,0,0,0,8
Figaro : journal non politique,1870,0,0,1,2
