paper,year,word,ctx_freq,PMI
L'Action française,1908,style,365,3.943
L'Action française,1908,color,366,3.947
L'Action française,1908,slategray,340,3.841
L'Action française,1908,span,642,3.758
L'Action française,1908,milieux,3,8.742
L'Action française,1908,dont,4,4.852
L'Action française,1908,a,5,1.832
L'Action française,1908,plus,3,2.937
L'Action française,1908,très,3,4.722
L'Action française,1908,esprit,3,6.766
L'Action française,1908,cet,3,5.629
L'Action française,1908,moins,3,5.512
L'Action française,1908,libertad,3,15.856
L'Action française,1908,p,16,1.143
L'Action française,1908,ancien,3,6.664
L'Action française,1908,socialistes,4,7.632
L'Action française,1909,style,694,4.038
L'Action française,1909,color,696,4.043
L'Action française,1909,slategray,658,3.962
L'Action française,1909,span,1194,3.821
L'Action française,1909,révolutionnaires,4,8.832
L'Action française,1909,plus,6,3.105
L'Action française,1909,question,3,5.183
L'Action française,1909,dire,4,5.205
L'Action française,1909,anarchiste,3,10.152
L'Action française,1909,cet,7,6.02
L'Action française,1909,etat,3,5.181
L'Action française,1909,a,8,1.678
L'Action française,1909,comme,5,3.907
L'Action française,1909,blancs,10,10.37
L'Action française,1909,espagnol,4,8.784
L'Action française,1909,être,4,3.748
L'Action française,1909,sans,3,3.447
L'Action française,1909,tout,5,3.758
L'Action française,1909,idées,3,7.207
L'Action française,1909,tous,3,3.329
L'Action française,1909,socialistes,3,6.385
L'Action française,1909,dogme,4,11.313
L'Action française,1909,juif,3,9.11
L'Action française,1909,p,8,-0.688
L'Action française,1909,espa,3,10.983
L'Action française,1909,agitation,3,8.768
L'Action française,1910,style,380,4.124
L'Action française,1910,color,380,4.124
L'Action française,1910,slategray,357,4.034
L'Action française,1910,span,644,3.885
L'Action française,1910,comme,3,4.124
L'Action française,1910,font,3,7.28
L'Action française,1910,cet,3,5.752
L'Action française,1910,a,4,1.633
L'Action française,1910,plus,3,3.06
L'Action française,1911,span,719,3.939
L'Action française,1911,style,416,4.149
L'Action française,1911,color,416,4.149
L'Action française,1911,slategray,379,4.015
L'Action française,1911,hervé,3,10.241
L'Action française,1911,p,13,0.861
L'Action française,1911,plus,3,2.955
L'Action française,1912,style,724,4.14
L'Action française,1912,color,721,4.134
L'Action française,1912,slategray,675,4.039
L'Action française,1912,span,1273,3.954
L'Action française,1912,convaincu,4,9.746
L'Action française,1912,soldat,9,9.278
L'Action française,1912,cette,3,2.729
L'Action française,1912,a,9,1.889
L'Action française,1912,cet,5,5.575
L'Action française,1912,plus,6,3.146
L'Action française,1912,comme,6,4.21
L'Action française,1912,contre,3,3.752
L'Action française,1912,p,11,-0.189
L'Action française,1912,tous,3,3.369
L'Action française,1912,deux,5,4.08
L'Action française,1912,connu,3,7.514
L'Action française,1912,chez,3,4.945
L'Action française,1912,ordonne,4,11.273
L'Action française,1912,mouvement,4,6.848
L'Action française,1912,socialistes,3,6.426
L'Action française,1913,span,1039,3.933
L'Action française,1913,style,593,4.124
L'Action française,1913,color,603,4.149
