paper,year,anarchist_hits,communis_hits,socialis_hits,revolution_hits
L'Action française,1908,3,0,4,8
L'Action française,1908,7,0,20,4
L'Action française,1908,3,1,4,9
L'Action française,1908,7,0,7,19
L'Action française,1908,2,0,6,7
L'Action française,1908,0,0,2,2
L'Action française,1908,1,1,5,2
L'Action française,1908,2,0,5,6
L'Action française,1908,8,0,0,9
L'Action française,1908,2,0,16,6
L'Action française,1908,4,1,4,11
L'Action française,1908,48,0,5,13
L'Action française,1908,4,2,13,9
L'Action française,1908,2,0,9,3
L'Action française,1908,1,0,2,1
L'Action française,1908,1,0,7,5
L'Action française,1908,1,0,1,11
L'Action française,1908,5,0,15,5
L'Action française,1908,5,0,0,11
L'Action française,1908,5,0,2,17
L'Action française,1908,2,0,2,4
L'Action française,1908,0,0,6,10
L'Action française,1908,6,0,4,18
L'Action française,1908,1,0,2,2
L'Action française,1908,1,0,4,12
L'Action française,1908,4,2,8,14
L'Action française,1908,9,0,2,3
L'Action française,1908,0,0,6,7
L'Action française,1908,2,0,4,4
L'Action française,1908,6,0,11,5
L'Action française,1908,5,0,3,0
L'Action française,1908,2,0,3,5
L'Action française,1908,3,0,2,10
L'Action française,1908,0,0,4,10
L'Action française,1908,1,0,6,2
L'Action française,1908,1,1,3,4
L'Action française,1908,0,0,2,4
L'Action française,1908,2,0,3,11
L'Action française,1908,5,0,14,8
L'Action française,1908,3,0,0,2
L'Action française,1908,0,0,2,9
L'Action française,1908,3,0,0,6
L'Action française,1908,3,1,3,10
L'Action française,1908,1,0,5,9
L'Action française,1908,0,0,5,8
L'Action française,1908,1,0,5,18
L'Action française,1908,3,0,4,7
L'Action française,1908,3,0,4,2
L'Action française,1908,9,0,1,7
L'Action française,1908,8,0,6,1
L'Action française,1908,2,0,2,2
L'Action française,1908,2,0,5,3
L'Action française,1908,2,0,2,6
L'Action française,1908,5,0,16,14
L'Action française,1908,2,0,3,9
L'Action française,1908,4,0,10,3
L'Action française,1908,2,0,0,1
L'Action française,1908,1,0,1,6
L'Action française,1908,5,1,0,3
L'Action française,1908,1,0,2,9
L'Action française,1908,5,1,7,14
L'Action française,1908,0,0,8,5
L'Action française,1908,0,0,9,11
L'Action française,1908,7,0,4,6
L'Action française,1908,3,0,10,2
L'Action française,1908,1,1,4,3
L'Action française,1908,2,0,3,3
L'Action française,1908,0,0,5,10
L'Action française,1908,1,0,6,3
L'Action française,1908,0,0,8,10
L'Action française,1908,1,1,2,15
L'Action française,1908,6,0,1,2
L'Action française,1908,3,0,1,9
L'Action française,1908,0,0,1,2
L'Action française,1908,4,0,2,6
L'Action française,1908,2,0,4,10
L'Action française,1908,8,1,2,1
L'Action française,1908,2,0,3,6
L'Action française,1908,5,0,9,9
L'Action française,1908,4,0,4,5
L'Action française,1908,1,0,13,25
L'Action française,1908,2,0,1,7
L'Action française,1908,0,0,15,3
L'Action française,1908,4,0,2,10
L'Action française,1908,4,0,3,10
L'Action française,1908,3,1,14,3
L'Action française,1908,4,0,6,5
L'Action française,1908,6,0,4,11
L'Action française,1908,1,0,0,11
L'Action française,1908,0,0,3,3
L'Action française,1908,0,0,1,3
L'Action française,1908,2,0,6,2
L'Action française,1908,2,0,15,7
L'Action française,1908,0,0,2,5
L'Action française,1908,0,0,1,0
L'Action française,1908,7,0,6,7
L'Action française,1908,3,0,2,3
L'Action française,1908,1,0,3,3
L'Action française,1908,1,0,14,6
L'Action française,1908,5,0,5,13
L'Action française,1908,1,0,0,5
L'Action française,1908,4,0,8,16
L'Action française,1908,4,0,5,13
L'Action française,1908,2,0,7,2
L'Action française,1908,4,0,3,4
L'Action française,1908,6,1,4,17
L'Action française,1908,4,0,6,5
L'Action française,1908,2,0,2,11
L'Action française,1908,3,0,5,10
L'Action française,1908,1,0,0,5
L'Action française,1908,3,0,8,7
L'Action française,1908,0,0,5,3
L'Action française,1908,3,0,1,5
L'Action française,1908,2,0,7,2
L'Action française,1908,2,0,4,2
L'Action française,1908,0,0,5,5
L'Action française,1908,2,0,9,7
L'Action française,1908,2,0,10,9
L'Action française,1908,3,0,17,10
L'Action française,1908,1,0,5,5
L'Action française,1908,4,0,3,1
L'Action française,1908,2,0,1,19
L'Action française,1908,3,0,2,3
L'Action française,1908,3,0,0,7
L'Action française,1908,4,1,0,2
L'Action française,1908,1,0,11,5
L'Action française,1908,1,0,1,4
L'Action française,1908,0,0,2,8
L'Action française,1908,0,0,2,4
L'Action française,1908,1,0,1,3
L'Action française,1908,1,0,7,7
L'Action française,1908,3,0,1,15
L'Action française,1908,6,0,6,5
L'Action française,1908,3,0,4,3
L'Action française,1908,3,0,4,3
L'Action française,1908,0,0,2,4
L'Action française,1908,0,0,3,2
L'Action française,1908,1,0,2,2
L'Action française,1908,4,0,9,9
L'Action française,1908,1,0,6,9
L'Action française,1908,2,0,1,4
L'Action française,1908,2,0,4,4
L'Action française,1908,4,1,6,7
L'Action française,1908,2,0,10,7
L'Action française,1908,3,0,3,4
L'Action française,1908,8,0,8,7
L'Action française,1908,5,0,2,2
L'Action française,1908,2,0,5,1
L'Action française,1908,1,0,1,9
L'Action française,1908,6,0,1,9
L'Action française,1908,0,0,1,5
L'Action française,1908,2,0,7,4
L'Action française,1908,2,0,12,11
L'Action française,1908,1,0,3,3
L'Action française,1908,2,0,1,12
L'Action française,1908,4,0,2,7
L'Action française,1908,0,0,1,1
L'Action française,1908,0,0,2,4
L'Action française,1908,0,0,3,6
L'Action française,1908,0,0,2,8
L'Action française,1908,2,0,3,4
L'Action française,1908,0,0,5,4
L'Action française,1908,3,0,1,6
L'Action française,1908,1,0,1,15
L'Action française,1908,2,0,8,8
