paper,year,anarchist_hits,communis_hits,socialis_hits,revolution_hits
L'Aurore,1897,0,0,10,0
L'Aurore,1897,0,1,17,19
L'Aurore,1897,2,1,12,7
L'Aurore,1897,1,2,4,10
L'Aurore,1897,0,0,3,1
L'Aurore,1897,2,0,2,4
L'Aurore,1897,0,5,23,14
L'Aurore,1897,1,0,12,3
L'Aurore,1897,1,1,14,8
L'Aurore,1897,0,2,10,2
L'Aurore,1897,0,1,8,4
L'Aurore,1897,1,1,7,7
L'Aurore,1897,0,2,5,6
L'Aurore,1897,3,0,10,2
L'Aurore,1897,1,0,7,0
L'Aurore,1897,0,1,4,5
L'Aurore,1897,1,0,4,6
L'Aurore,1897,3,0,2,4
L'Aurore,1897,1,0,6,3
L'Aurore,1897,1,1,13,6
L'Aurore,1897,0,1,6,8
L'Aurore,1897,0,0,6,3
L'Aurore,1897,0,0,5,4
L'Aurore,1897,1,0,4,2
L'Aurore,1897,0,0,6,4
L'Aurore,1897,3,1,1,6
L'Aurore,1897,1,0,6,5
L'Aurore,1897,4,2,19,7
L'Aurore,1897,2,1,11,7
L'Aurore,1897,0,0,2,0
L'Aurore,1897,0,0,9,2
L'Aurore,1897,0,1,6,4
L'Aurore,1897,1,0,11,9
L'Aurore,1897,0,0,5,4
L'Aurore,1897,6,0,17,8
L'Aurore,1897,0,0,3,10
L'Aurore,1897,1,2,25,14
L'Aurore,1897,1,0,7,2
L'Aurore,1897,1,0,12,3
L'Aurore,1897,0,0,3,12
L'Aurore,1897,0,0,5,1
L'Aurore,1897,0,0,5,3
L'Aurore,1897,2,0,7,4
L'Aurore,1897,1,1,3,5
L'Aurore,1897,1,0,8,1
L'Aurore,1897,0,1,6,7
L'Aurore,1897,1,1,3,2
L'Aurore,1897,2,0,4,2
L'Aurore,1897,0,0,2,2
L'Aurore,1897,0,0,9,2
L'Aurore,1897,0,0,15,3
L'Aurore,1897,0,0,1,1
L'Aurore,1897,1,0,6,7
L'Aurore,1897,0,3,8,4
L'Aurore,1897,0,0,1,1
L'Aurore,1897,2,0,14,5
L'Aurore,1897,0,0,3,1
L'Aurore,1897,0,0,9,1
L'Aurore,1897,0,1,8,6
L'Aurore,1897,1,0,1,4
L'Aurore,1897,3,1,8,3
L'Aurore,1897,1,1,10,4
L'Aurore,1897,0,0,1,3
L'Aurore,1897,3,0,3,4
L'Aurore,1897,0,0,8,2
L'Aurore,1897,0,0,1,3
L'Aurore,1897,2,0,12,1
L'Aurore,1897,1,2,16,17
L'Aurore,1897,0,0,24,9
L'Aurore,1897,0,0,14,9
L'Aurore,1897,0,0,6,10
L'Aurore,1897,2,0,8,4
L'Aurore,1897,0,0,11,9
L'Aurore,1897,1,0,4,0
L'Aurore,1898,0,0,5,3
L'Aurore,1898,0,0,33,9
L'Aurore,1898,2,1,9,12
L'Aurore,1898,1,0,9,8
L'Aurore,1898,0,1,16,5
L'Aurore,1898,1,0,3,5
L'Aurore,1898,0,0,15,6
L'Aurore,1898,0,2,10,7
L'Aurore,1898,2,1,11,16
L'Aurore,1898,0,4,24,18
L'Aurore,1898,0,0,5,7
L'Aurore,1898,6,0,9,4
L'Aurore,1898,1,0,8,12
L'Aurore,1898,0,0,2,4
