paper,year,anarchist_hits,communis_hits,socialis_hits,revolution_hits
La Croix,1880,0,0,0,0
La Croix,1880,2,0,1,3
La Croix,1880,0,0,1,2
La Croix,1880,0,0,0,5
La Croix,1880,0,0,0,0
La Croix,1880,0,0,0,2
La Croix,1880,1,0,0,0
La Croix,1880,0,0,0,1
La Croix,1880,0,0,0,1
La Croix,1881,0,0,0,0
La Croix,1881,0,0,0,3
La Croix,1881,0,0,0,1
La Croix,1881,0,0,0,4
La Croix,1881,0,0,0,2
La Croix,1881,0,0,0,0
La Croix,1881,1,0,0,10
La Croix,1881,1,0,0,3
La Croix,1881,0,0,0,1
La Croix,1881,0,0,0,2
La Croix,1881,0,0,0,0
La Croix,1882,0,0,0,0
La Croix,1882,0,0,0,0
La Croix,1882,0,0,0,1
La Croix,1882,0,0,0,0
La Croix,1882,0,0,0,1
La Croix,1882,0,0,2,0
La Croix,1882,0,0,0,0
La Croix,1882,0,0,0,1
La Croix,1882,3,0,7,5
La Croix,1882,0,0,0,3
La Croix,1882,0,0,0,3
La Croix,1882,0,0,0,0
La Croix,1883,0,0,0,0
La Croix,1883,0,0,0,2
La Croix,1883,2,0,0,1
La Croix,1883,4,0,0,0
La Croix,1883,0,0,0,0
La Croix,1883,2,0,2,1
La Croix,1883,5,0,1,1
La Croix,1883,1,0,0,0
La Croix,1883,3,0,0,0
La Croix,1883,1,0,1,0
La Croix,1883,0,0,0,2
La Croix,1883,2,0,2,6
La Croix,1883,0,0,0,4
La Croix,1883,0,0,0,0
La Croix,1883,0,0,0,2
La Croix,1883,0,0,0,0
La Croix,1883,0,0,0,0
La Croix,1883,0,0,0,0
La Croix,1883,1,0,0,1
La Croix,1883,1,0,0,1
La Croix,1883,2,0,3,1
La Croix,1883,5,0,0,3
La Croix,1883,1,0,0,1
La Croix,1883,0,0,0,2
La Croix,1883,1,0,0,0
La Croix,1883,0,0,1,3
La Croix,1883,0,0,0,3
La Croix,1883,0,0,0,1
La Croix,1883,0,0,0,1
La Croix,1883,2,0,0,1
La Croix,1883,1,0,1,3
La Croix,1883,3,0,1,2
La Croix,1883,1,0,0,4
La Croix,1883,1,0,1,0
La Croix,1883,0,0,0,4
La Croix,1883,0,0,0,0
La Croix,1883,0,0,0,0
La Croix,1883,0,0,0,3
La Croix,1883,2,0,1,2
La Croix,1883,0,0,0,0
La Croix,1883,1,0,1,0
La Croix,1883,0,0,0,1
La Croix,1883,3,0,0,3
La Croix,1883,0,0,1,0
La Croix,1883,0,0,0,5
La Croix,1883,1,0,0,2
La Croix,1883,0,0,0,1
La Croix,1883,3,0,0,0
La Croix,1883,0,0,0,1
La Croix,1883,0,0,0,3
La Croix,1883,1,0,3,3
La Croix,1883,4,0,0,1
La Croix,1883,0,0,0,2
La Croix,1883,0,0,0,2
La Croix,1883,0,0,0,0
La Croix,1883,0,0,0,4
La Croix,1883,0,0,0,4
La Croix,1883,0,0,0,0
La Croix,1883,0,0,0,1
La Croix,1883,0,0,2,1
La Croix,1883,1,0,0,0
La Croix,1883,10,0,0,1
La Croix,1883,0,0,0,4
La Croix,1883,0,0,0,3
La Croix,1883,0,0,2,1
La Croix,1883,0,0,1,2
La Croix,1883,0,0,0,4
La Croix,1883,1,0,0,2
La Croix,1883,0,0,0,1
La Croix,1883,2,0,2,0
La Croix,1883,0,0,1,7
La Croix,1883,0,0,0,0
La Croix,1883,2,0,2,1
La Croix,1883,0,0,1,1
La Croix,1883,3,0,1,1
La Croix,1883,0,0,0,3
La Croix,1883,0,0,0,1
La Croix,1883,0,0,0,0
La Croix,1883,0,0,1,1
La Croix,1883,0,0,2,3
La Croix,1883,1,0,0,3
La Croix,1883,3,0,0,5
La Croix,1883,6,0,0,0
La Croix,1883,0,0,0,4
La Croix,1883,4,0,0,5
