paper,year,anarchist_hits,communis_hits,socialis_hits,revolution_hits
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,0,5
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,0,2
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,1,0,0,3
Le Constitutionnel,1870,1,0,0,2
Le Constitutionnel,1870,0,0,4,5
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,5
Le Constitutionnel,1870,0,0,1,0
Le Constitutionnel,1870,0,0,0,3
Le Constitutionnel,1870,0,0,0,19
Le Constitutionnel,1870,0,0,2,0
Le Constitutionnel,1870,0,0,0,3
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,6
Le Constitutionnel,1870,2,0,0,2
Le Constitutionnel,1870,0,0,3,10
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,1,0,0,1
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,1,4
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,1,3
Le Constitutionnel,1870,0,0,0,3
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,1,2
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,2
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,0,4
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,6
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,7
Le Constitutionnel,1870,1,0,0,4
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,1,0,0
Le Constitutionnel,1870,0,0,0,6
Le Constitutionnel,1870,0,0,1,6
Le Constitutionnel,1870,0,0,0,5
Le Constitutionnel,1870,1,0,1,10
Le Constitutionnel,1870,0,0,4,25
Le Constitutionnel,1870,1,0,0,4
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,1,1,3
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,1,0,6
Le Constitutionnel,1870,0,0,0,10
Le Constitutionnel,1870,0,0,0,3
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,1,4
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,1,2
Le Constitutionnel,1870,0,0,0,9
Le Constitutionnel,1870,0,0,1,1
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,0,3
Le Constitutionnel,1870,0,0,0,2
Le Constitutionnel,1870,2,0,2,2
Le Constitutionnel,1870,0,0,1,4
Le Constitutionnel,1870,0,0,3,5
Le Constitutionnel,1870,0,0,0,2
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,2
Le Constitutionnel,1870,0,0,0,3
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,0,2
Le Constitutionnel,1870,0,0,0,5
Le Constitutionnel,1870,0,0,2,11
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,2
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,6
Le Constitutionnel,1870,1,0,0,3
Le Constitutionnel,1870,0,0,1,2
Le Constitutionnel,1870,0,0,0,2
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,0
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,0,0,0,1
Le Constitutionnel,1870,1,1,0,1
Le Constitutionnel,1870,0,0,0,3
Le Constitutionnel,1870,1,0,0,1
Le Constitutionnel,1870,0,0,7,16
