paper,year,anarchist_hits,communis_hits,socialis_hits,revolution_hits
Le Populaire,1918,0,0,37,3
Le Populaire,1918,0,0,25,8
Le Populaire,1918,0,0,43,4
Le Populaire,1918,0,0,43,12
Le Populaire,1918,1,0,32,7
Le Populaire,1918,0,0,61,20
Le Populaire,1918,0,1,43,12
Le Populaire,1918,1,2,48,7
Le Populaire,1918,0,0,36,2
Le Populaire,1918,0,0,62,24
Le Populaire,1918,0,0,29,15
Le Populaire,1918,0,0,56,2
Le Populaire,1918,0,0,45,8
Le Populaire,1918,1,0,49,4
Le Populaire,1918,0,0,32,3
Le Populaire,1918,2,0,44,26
Le Populaire,1918,0,0,40,0
Le Populaire,1918,0,0,31,3
Le Populaire,1918,0,0,49,5
Le Populaire,1918,1,0,53,10
Le Populaire,1918,1,0,39,11
Le Populaire,1918,0,0,30,2
Le Populaire,1918,0,0,27,3
Le Populaire,1918,3,0,35,9
Le Populaire,1918,0,0,32,4
Le Populaire,1918,0,0,39,9
Le Populaire,1918,0,0,35,2
Le Populaire,1918,0,0,37,11
Le Populaire,1918,0,0,80,20
Le Populaire,1918,1,0,35,8
Le Populaire,1918,0,4,35,9
Le Populaire,1918,0,1,43,13
Le Populaire,1918,0,0,48,4
Le Populaire,1918,0,0,29,8
Le Populaire,1918,0,0,54,4
Le Populaire,1918,0,0,47,8
Le Populaire,1918,0,0,36,6
Le Populaire,1918,1,0,31,3
Le Populaire,1918,1,0,61,15
Le Populaire,1918,0,0,46,10
Le Populaire,1918,0,0,32,7
Le Populaire,1918,0,0,64,3
Le Populaire,1918,1,0,38,5
Le Populaire,1918,0,0,54,18
Le Populaire,1918,3,0,49,19
Le Populaire,1918,1,0,29,2
Le Populaire,1918,2,1,32,8
Le Populaire,1918,0,0,36,1
Le Populaire,1918,0,1,37,9
Le Populaire,1918,0,0,47,9
Le Populaire,1918,0,0,45,4
Le Populaire,1918,0,0,29,2
Le Populaire,1918,0,0,41,12
Le Populaire,1918,0,0,41,10
Le Populaire,1918,0,0,35,3
Le Populaire,1918,2,0,49,15
Le Populaire,1918,0,0,41,15
Le Populaire,1918,0,0,52,4
Le Populaire,1918,0,0,32,0
Le Populaire,1918,1,0,37,6
Le Populaire,1918,1,1,42,6
Le Populaire,1918,1,0,33,3
Le Populaire,1918,0,2,47,6
Le Populaire,1918,0,0,32,1
Le Populaire,1918,4,0,38,10
Le Populaire,1918,2,0,36,7
Le Populaire,1918,0,1,47,10
Le Populaire,1918,1,2,79,63
Le Populaire,1918,1,1,22,4
Le Populaire,1918,0,0,32,2
Le Populaire,1918,0,2,45,5
Le Populaire,1918,0,0,48,2
Le Populaire,1918,1,1,68,13
Le Populaire,1918,1,0,36,4
Le Populaire,1918,0,0,43,30
Le Populaire,1918,0,0,36,11
Le Populaire,1918,0,0,60,46
Le Populaire,1918,0,1,46,1
Le Populaire,1918,4,0,39,3
Le Populaire,1918,0,0,47,4
Le Populaire,1918,1,2,48,6
Le Populaire,1918,0,1,62,7
Le Populaire,1918,1,1,76,26
Le Populaire,1918,0,0,35,2
Le Populaire,1918,1,0,37,2
Le Populaire,1918,0,1,49,3
Le Populaire,1918,1,2,34,2
Le Populaire,1918,1,0,54,11
Le Populaire,1918,1,0,35,2
Le Populaire,1918,0,1,35,10
Le Populaire,1918,1,0,33,6
Le Populaire,1918,0,0,38,1
Le Populaire,1918,0,0,35,2
Le Populaire,1918,2,0,37,3
Le Populaire,1918,0,0,55,7
Le Populaire,1918,0,0,32,1
Le Populaire,1918,1,2,43,3
Le Populaire,1918,0,0,44,8
Le Populaire,1918,0,0,33,3
Le Populaire,1918,1,0,57,21
Le Populaire,1918,0,0,38,3
Le Populaire,1918,0,0,69,7
Le Populaire,1918,1,0,39,3
Le Populaire,1918,0,0,40,9
Le Populaire,1918,0,0,28,4
Le Populaire,1918,0,1,61,4
Le Populaire,1918,0,0,34,3
Le Populaire,1918,1,1,41,4
Le Populaire,1918,1,0,40,1
Le Populaire,1918,0,1,44,4
Le Populaire,1918,1,0,47,2
Le Populaire,1918,0,0,37,7
Le Populaire,1918,2,0,41,6
Le Populaire,1918,1,0,36,1
Le Populaire,1918,1,0,42,17
Le Populaire,1918,0,0,32,2
Le Populaire,1918,1,2,55,2
Le Populaire,1918,0,0,43,0
Le Populaire,1918,0,0,38,3
Le Populaire,1918,0,0,34,2
Le Populaire,1918,1,0,67,29
Le Populaire,1918,0,0,29,5
Le Populaire,1918,0,0,31,2
Le Populaire,1918,1,0,32,5
Le Populaire,1918,1,0,29,6
Le Populaire,1918,0,0,46,15
Le Populaire,1918,0,0,39,7
Le Populaire,1918,1,1,29,9
Le Populaire,1918,0,1,36,8
Le Populaire,1918,1,0,29,2
Le Populaire,1918,1,13,107,84
Le Populaire,1918,2,2,37,5
Le Populaire,1918,0,1,50,27
Le Populaire,1918,1,0,78,16
Le Populaire,1918,0,0,24,5
Le Populaire,1918,0,0,43,4
Le Populaire,1918,0,0,38,3
Le Populaire,1918,0,0,39,2
Le Populaire,1918,0,0,30,3
Le Populaire,1918,0,0,63,8
Le Populaire,1918,2,0,40,11
Le Populaire,1918,1,0,36,5
Le Populaire,1918,0,5,89,19
Le Populaire,1918,0,0,38,11
Le Populaire,1918,0,0,22,10
Le Populaire,1918,0,0,30,2
Le Populaire,1918,0,1,27,0
Le Populaire,1918,0,0,37,4
Le Populaire,1918,0,0,28,3
Le Populaire,1918,1,0,46,14
Le Populaire,1918,0,0,29,0
Le Populaire,1918,0,0,36,12
Le Populaire,1918,1,0,27,1
Le Populaire,1918,1,0,40,2
Le Populaire,1918,0,0,32,8
Le Populaire,1918,0,0,49,5
Le Populaire,1918,1,0,37,12
Le Populaire,1918,1,0,56,8
Le Populaire,1918,0,0,35,6
Le Populaire,1918,0,0,32,3
Le Populaire,1918,0,1,39,4
Le Populaire,1918,0,0,41,3
Le Populaire,1918,1,0,32,2
Le Populaire,1918,1,1,31,10
Le Populaire,1918,0,2,43,5
Le Populaire,1918,1,0,46,7
Le Populaire,1918,1,0,43,4
Le Populaire,1918,0,0,86,21
Le Populaire,1918,0,0,39,7
Le Populaire,1918,0,0,26,12
Le Populaire,1918,0,0,61,12
Le Populaire,1918,0,0,38,1
Le Populaire,1918,0,0,57,8
Le Populaire,1918,1,0,29,5
Le Populaire,1918,2,0,50,5
Le Populaire,1918,0,2,41,4
Le Populaire,1918,2,2,68,14
Le Populaire,1918,3,0,63,10
Le Populaire,1918,0,1,34,6
Le Populaire,1918,0,0,60,1
Le Populaire,1918,2,0,47,4
Le Populaire,1918,0,0,39,4
Le Populaire,1918,0,0,31,5
Le Populaire,1918,1,0,41,12
Le Populaire,1918,0,0,53,0
Le Populaire,1918,1,0,44,2
Le Populaire,1918,2,0,43,12
Le Populaire,1918,0,0,52,22
Le Populaire,1918,0,0,47,17
Le Populaire,1918,0,0,44,6
Le Populaire,1918,0,0,39,2
Le Populaire,1918,1,0,36,4
Le Populaire,1918,0,0,49,1
Le Populaire,1918,0,0,46,1
Le Populaire,1918,0,0,37,0
Le Populaire,1918,0,1,41,3
Le Populaire,1918,0,0,40,5
Le Populaire,1918,0,0,51,13
Le Populaire,1918,1,0,46,25
Le Populaire,1918,4,0,54,7
Le Populaire,1918,0,0,48,9
Le Populaire,1918,0,0,40,4
Le Populaire,1918,0,0,61,9
Le Populaire,1918,0,0,35,8
Le Populaire,1918,0,0,41,1
Le Populaire,1918,0,0,42,9
Le Populaire,1918,1,1,37,6
Le Populaire,1918,0,0,43,9
Le Populaire,1918,1,0,49,3
Le Populaire,1918,0,0,40,0
Le Populaire,1918,1,1,54,33
Le Populaire,1918,0,0,45,2
Le Populaire,1918,0,0,36,6
Le Populaire,1918,0,0,40,3
Le Populaire,1918,1,0,52,14
Le Populaire,1918,0,0,37,20
Le Populaire,1918,0,0,50,8
Le Populaire,1918,0,0,39,8
Le Populaire,1918,0,0,23,1
Le Populaire,1918,1,0,30,3
Le Populaire,1918,1,1,31,1
Le Populaire,1918,1,0,30,0
Le Populaire,1918,1,1,46,14
Le Populaire,1918,0,0,37,2
Le Populaire,1918,0,0,30,5
Le Populaire,1918,0,0,51,4
Le Populaire,1918,0,1,29,12
Le Populaire,1918,1,0,48,5
Le Populaire,1918,4,1,39,26
Le Populaire,1918,0,0,40,2
Le Populaire,1918,1,0,29,5
Le Populaire,1918,1,0,64,5
Le Populaire,1918,1,2,56,8
Le Populaire,1918,0,0,29,4
Le Populaire,1918,1,0,44,15
Le Populaire,1918,0,0,26,2
Le Populaire,1918,0,0,44,6
Le Populaire,1918,0,0,41,3
Le Populaire,1918,0,0,40,0
Le Populaire,1918,1,0,30,2
Le Populaire,1918,0,1,29,7
Le Populaire,1918,0,0,45,4
Le Populaire,1918,1,0,49,7
Le Populaire,1918,1,0,34,8
Le Populaire,1918,0,0,27,2
Le Populaire,1918,0,1,49,18
Le Populaire,1918,2,0,40,14
Le Populaire,1918,1,0,30,1
Le Populaire,1918,0,0,30,7
Le Populaire,1918,3,0,39,11
Le Populaire,1918,1,0,51,21
Le Populaire,1918,0,0,38,2
Le Populaire,1918,0,0,33,9
Le Populaire,1918,0,2,39,21
Le Populaire,1918,0,0,37,8
Le Populaire,1918,0,0,33,17
Le Populaire,1918,1,0,38,2
