paper,year,anarchist_hits,communis_hits,socialis_hits,revolution_hits
Le Temps,1870,0,0,0,4
Le Temps,1870,1,0,3,3
Le Temps,1870,0,0,0,4
Le Temps,1870,1,0,0,2
Le Temps,1870,0,0,0,1
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,17
Le Temps,1870,0,0,2,3
Le Temps,1870,0,0,0,8
Le Temps,1870,1,0,2,0
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,3
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,1,0
Le Temps,1870,1,0,0,3
Le Temps,1870,0,0,0,5
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,9
Le Temps,1870,0,0,0,2
Le Temps,1870,1,0,0,1
Le Temps,1870,0,0,1,4
Le Temps,1870,0,0,0,4
Le Temps,1870,0,0,0,5
Le Temps,1870,1,0,2,2
Le Temps,1870,0,0,0,3
Le Temps,1870,1,0,0,3
Le Temps,1870,0,0,0,2
Le Temps,1870,1,0,0,0
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,2
Le Temps,1870,0,0,6,2
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,1
Le Temps,1870,0,0,0,1
Le Temps,1870,1,0,0,0
Le Temps,1870,0,0,0,2
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,2,0
Le Temps,1870,0,0,0,4
Le Temps,1870,1,0,0,1
Le Temps,1870,0,0,0,4
Le Temps,1870,0,0,0,0
Le Temps,1870,0,1,0,3
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,1
Le Temps,1870,1,0,0,0
Le Temps,1870,1,0,0,10
Le Temps,1870,0,0,0,2
Le Temps,1870,0,0,0,7
Le Temps,1870,0,0,0,1
Le Temps,1870,0,0,1,8
Le Temps,1870,0,0,0,2
Le Temps,1870,0,0,0,2
Le Temps,1870,0,0,0,3
Le Temps,1870,0,0,0,4
Le Temps,1870,0,0,1,3
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,1
Le Temps,1870,0,0,0,6
Le Temps,1870,1,0,0,5
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,5
Le Temps,1870,1,0,1,1
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,3
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,3
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,9
Le Temps,1870,0,0,0,5
Le Temps,1870,0,0,0,0
Le Temps,1870,1,0,0,7
Le Temps,1870,0,0,0,5
Le Temps,1870,0,0,0,4
Le Temps,1870,0,0,1,2
Le Temps,1870,0,0,0,4
Le Temps,1870,0,0,0,3
Le Temps,1870,2,0,0,2
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,3
Le Temps,1870,1,1,0,17
Le Temps,1870,1,0,1,1
Le Temps,1870,0,0,0,1
Le Temps,1870,0,0,0,1
Le Temps,1870,0,0,0,3
Le Temps,1870,0,0,1,3
Le Temps,1870,0,0,1,0
Le Temps,1870,0,0,0,1
Le Temps,1870,0,0,0,4
Le Temps,1870,0,0,0,3
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,4
Le Temps,1870,1,0,0,0
Le Temps,1870,1,0,0,2
Le Temps,1870,0,0,0,1
Le Temps,1870,0,0,1,2
Le Temps,1870,0,0,0,2
Le Temps,1870,0,0,0,1
Le Temps,1870,0,0,0,3
Le Temps,1870,0,0,0,0
Le Temps,1870,0,0,0,2
Le Temps,1870,0,0,0,2
Le Temps,1870,0,0,0,0
